Data;"Dolar S.U.A.-Leu moldovenesc"
28.08.2011;11.3359
29.08.2011;11.3359
30.08.2011;11.3359
31.08.2011;11.3359
01.09.2011;11.3285
02.09.2011;11.3207
03.09.2011;11.3207
04.09.2011;11.3207
05.09.2011;11.3007
06.09.2011;11.2919
07.09.2011;11.3084
08.09.2011;11.3484
09.09.2011;11.4086
10.09.2011;11.4755
11.09.2011;11.4755
12.09.2011;11.5024
13.09.2011;11.5306
14.09.2011;11.5898
15.09.2011;11.6616
16.09.2011;11.7314
17.09.2011;11.7314
18.09.2011;11.7314
19.09.2011;11.7261
20.09.2011;11.6883
21.09.2011;11.6695
22.09.2011;11.6947
23.09.2011;11.7296
24.09.2011;11.7296
25.09.2011;11.7296
26.09.2011;11.8012
27.09.2011;11.8738
28.09.2011;11.948
29.09.2011;11.9904
30.09.2011;11.9167
01.10.2011;11.9167
02.10.2011;11.9167
03.10.2011;11.8767
04.10.2011;11.8698
05.10.2011;11.8926
06.10.2011;11.9819
07.10.2011;11.9874
08.10.2011;11.9874
09.10.2011;11.9874
10.10.2011;11.9664
11.10.2011;11.9365
12.10.2011;11.8817
13.10.2011;11.8238
14.10.2011;11.8238
15.10.2011;11.8238
16.10.2011;11.8238
17.10.2011;11.7885
18.10.2011;11.7334
19.10.2011;11.7082
20.10.2011;11.6234
21.10.2011;11.6435
22.10.2011;11.6435
23.10.2011;11.6435
24.10.2011;11.6998
25.10.2011;11.7475
26.10.2011;11.7023
27.10.2011;11.6563
28.10.2011;11.6176
29.10.2011;11.6176
30.10.2011;11.6176
31.10.2011;11.6014
01.11.2011;11.5657
02.11.2011;11.5626
03.11.2011;11.6013
04.11.2011;11.6378
05.11.2011;11.6378
06.11.2011;11.6378
07.11.2011;11.645
08.11.2011;11.634
09.11.2011;11.6141
10.11.2011;11.6049
11.11.2011;11.6263
12.11.2011;11.6263
13.11.2011;11.6263
14.11.2011;11.674
15.11.2011;11.6784
16.11.2011;11.6822
17.11.2011;11.7158
18.11.2011;11.7847
19.11.2011;11.7847
20.11.2011;11.7847
21.11.2011;11.7803
22.11.2011;11.7733
23.11.2011;11.7678
24.11.2011;11.8115
25.11.2011;11.8599
26.11.2011;11.8599
27.11.2011;11.8599
28.11.2011;11.9025
29.11.2011;11.918
30.11.2011;11.8781
01.12.2011;11.8606
02.12.2011;11.8543
03.12.2011;11.8543
04.12.2011;11.8543
05.12.2011;11.8247
06.12.2011;11.7946
07.12.2011;11.7809
08.12.2011;11.7691
09.12.2011;11.7682
10.12.2011;11.7682
11.12.2011;11.7682
12.12.2011;11.7686
13.12.2011;11.7695
14.12.2011;11.793
15.12.2011;11.8289
16.12.2011;11.854
17.12.2011;11.854
18.12.2011;11.854
19.12.2011;11.8503
20.12.2011;11.8408
21.12.2011;11.8146
22.12.2011;11.7782
23.12.2011;11.7393
24.12.2011;11.7393
25.12.2011;11.7393
26.12.2011;11.7439
27.12.2011;11.7469
28.12.2011;11.7631
29.12.2011;11.7414
30.12.2011;11.7154
31.12.2011;11.7154
01.01.2012;11.7154
02.01.2012;11.733
03.01.2012;11.7093
04.01.2012;11.695
05.01.2012;11.6655
06.01.2012;11.678
07.01.2012;11.678
08.01.2012;11.678
09.01.2012;11.6983
10.01.2012;11.7668
11.01.2012;11.7957
12.01.2012;11.8459
13.01.2012;11.8896
14.01.2012;11.8896
15.01.2012;11.8896
16.01.2012;11.9459
17.01.2012;11.9333
18.01.2012;11.9244
19.01.2012;11.936
20.01.2012;11.9171
21.01.2012;11.9171
22.01.2012;11.9171
23.01.2012;11.8657
24.01.2012;11.8504
25.01.2012;11.8067
26.01.2012;11.798
27.01.2012;11.7963
28.01.2012;11.7963
29.01.2012;11.7963
30.01.2012;11.8096
31.01.2012;11.7843
01.02.2012;11.8077
02.02.2012;11.8062
03.02.2012;11.8753
04.02.2012;11.8753
05.02.2012;11.8753
06.02.2012;11.9267
07.02.2012;11.9851
08.02.2012;12.0104
09.02.2012;12.0029
10.02.2012;11.9611
11.02.2012;11.9611
12.02.2012;11.9611
13.02.2012;11.9043
14.02.2012;11.8372
15.02.2012;11.8212
16.02.2012;11.8189
17.02.2012;11.842
18.02.2012;11.842
19.02.2012;11.842
20.02.2012;11.8977
21.02.2012;11.8622
22.02.2012;11.8417
23.02.2012;11.863
24.02.2012;11.8497
25.02.2012;11.8497
26.02.2012;11.8497
27.02.2012;11.8505
28.02.2012;11.8395
29.02.2012;11.8049
01.03.2012;11.7894
02.03.2012;11.7799
03.03.2012;11.801
04.03.2012;11.801
05.03.2012;11.8097
06.03.2012;11.829
07.03.2012;11.8477
08.03.2012;11.8477
09.03.2012;11.8477
10.03.2012;11.8477
11.03.2012;11.8477
12.03.2012;11.8642
13.03.2012;11.8565
14.03.2012;11.8531
15.03.2012;11.8518
16.03.2012;11.873
17.03.2012;11.873
18.03.2012;11.873
19.03.2012;11.8826
20.03.2012;11.8959
21.03.2012;11.876
22.03.2012;11.868
23.03.2012;11.8781
24.03.2012;11.8781
25.03.2012;11.8781
26.03.2012;11.8624
27.03.2012;11.8366
28.03.2012;11.8335
29.03.2012;11.8498
30.03.2012;11.813
31.03.2012;11.813
01.04.2012;11.813
02.04.2012;11.8321
03.04.2012;11.8512
04.04.2012;11.8245
05.04.2012;11.828
06.04.2012;11.8534
07.04.2012;11.8534
08.04.2012;11.8534
09.04.2012;11.8353
10.04.2012;11.8309
11.04.2012;11.8246
12.04.2012;11.812
13.04.2012;11.7815
14.04.2012;11.7815
15.04.2012;11.7815
16.04.2012;11.7815
17.04.2012;11.7756
18.04.2012;11.7755
19.04.2012;11.782
20.04.2012;11.7984
21.04.2012;11.7984
22.04.2012;11.7984
